index,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol
349,000838.XSHE,838,财信发展,XSHE,2017/12/1,6.36,6.32,6.41,6.31,6.32,12292900
350,000839.XSHE,839,中信国安,XSHE,2017/12/1,9.38,9.2,9.46,9.15,9.22,101004633
351,000848.XSHE,848,承德露露,XSHE,2017/12/1,9.31,9.32,9.42,9.32,9.39,3108711
352,000850.XSHE,850,华茂股份,XSHE,2017/12/1,4.73,4.73,4.76,4.72,4.75,1607100
353,000851.XSHE,851,高鸿股份,XSHE,2017/12/1,9.35,9.3,9.49,9.3,9.41,4154458
354,000852.XSHE,852,石化机械,XSHE,2017/12/1,11.41,11.45,11.54,11.32,11.52,7509709
355,000856.XSHE,856,冀东装备,XSHE,2017/12/1,18.98,18.9,19.21,18.83,19.01,6026201
356,000858.XSHE,858,五粮液,XSHE,2017/12/1,65.6,66.21,66.65,64.91,65.3,21172961
357,000859.XSHE,859,国风塑业,XSHE,2017/12/1,4.33,4.34,4.37,4.3,4.36,4656761
358,000860.XSHE,860,顺鑫农业,XSHE,2017/12/1,18.63,18.67,18.8,18.59,18.76,2821098
359,000861.XSHE,861,海印股份,XSHE,2017/12/1,3.29,3.29,3.29,3.25,3.26,5244870
360,000862.XSHE,862,银星能源,XSHE,2017/12/1,5.17,5.2,5.21,5.13,5.17,1809017
361,000863.XSHE,863,三湘印象,XSHE,2017/12/1,5.78,5.79,5.92,5.76,5.84,2331098
362,000868.XSHE,868,安凯客车,XSHE,2017/12/1,7.25,7.23,7.58,7.21,7.41,44990344
363,000869.XSHE,869,张裕A,XSHE,2017/12/1,34.56,34.57,34.98,34.57,34.95,971600
364,000875.XSHE,875,吉电股份,XSHE,2017/12/1,3.99,4,4.05,4,4.04,3426297
365,000876.XSHE,876,新希望,XSHE,2017/12/1,7.61,7.59,7.65,7.57,7.59,15704963
366,000877.XSHE,877,天山股份,XSHE,2017/12/1,11.07,11.1,11.25,10.9,11.13,24776731
367,000878.XSHE,878,云南铜业,XSHE,2017/12/1,12.9,12.84,13.03,12.71,12.95,12887381
368,000880.XSHE,880,潍柴重机,XSHE,2017/12/1,9.45,9.49,9.53,9.41,9.53,769706
369,000881.XSHE,881,中广核技,XSHE,2017/12/1,12.97,12.88,13.07,12.88,13,1975809
370,000882.XSHE,882,华联股份,XSHE,2017/12/1,3.07,3.08,3.1,3.06,3.08,6449300
371,000883.XSHE,883,湖北能源,XSHE,2017/12/1,4.65,4.64,4.68,4.63,4.68,5618564
372,000885.XSHE,885,同力水泥,XSHE,2017/12/1,17.58,17.14,17.44,16.72,17.13,17811569
373,000886.XSHE,886,海南高速,XSHE,2017/12/1,7.01,6.97,7.4,6.9,7.32,23052303
374,000887.XSHE,887,中鼎股份,XSHE,2017/12/1,18,17.99,18.1,17.9,18.01,4874589
375,000888.XSHE,888,峨眉山A,XSHE,2017/12/1,9.88,9.89,9.94,9.8,9.9,2649189
376,000889.XSHE,889,茂业通信,XSHE,2017/12/1,13.82,13.61,14.3,13.58,14.13,7509391
377,000890.XSHE,890,法尔胜,XSHE,2017/12/1,6.6,6.6,6.66,6.56,6.62,1738556
378,000892.XSHE,892,欢瑞世纪,XSHE,2017/12/1,7.17,7.17,7.27,7.15,7.22,1694994
379,000893.XSHE,893,东凌国际,XSHE,2017/12/1,7.44,7.4,7.7,7.37,7.65,3125380
380,000895.XSHE,895,双汇发展,XSHE,2017/12/1,25.05,24.97,25.15,24.81,24.87,13441703
381,000897.XSHE,897,津滨发展,XSHE,2017/12/1,3.65,3.66,3.69,3.63,3.68,4484565
382,000898.XSHE,898,鞍钢股份,XSHE,2017/12/1,6.89,6.88,6.96,6.68,6.8,64289700
383,000899.XSHE,899,赣能股份,XSHE,2017/12/1,5.94,5.95,5.99,5.92,5.97,1567901
384,000900.XSHE,900,现代投资,XSHE,2017/12/1,6.25,0,0,0,6.25,0
385,000901.XSHE,901,航天科技,XSHE,2017/12/1,25.3,25.2,25.25,24.45,24.9,5418387
386,000902.XSHE,902,新洋丰,XSHE,2017/12/1,9.64,9.58,9.75,9.55,9.69,2449789
387,000903.XSHE,903,云内动力,XSHE,2017/12/1,3.93,0,0,0,3.93,0
388,000905.XSHE,905,厦门港务,XSHE,2017/12/1,11.96,12.03,12.03,11.84,11.88,2966135
389,000906.XSHE,906,浙商中拓,XSHE,2017/12/1,8.06,8.06,8.23,8.05,8.16,2888000
